Timestamp	HTS221_Temp	HTS221_Hum	SS_Temp	SS_Moist	BH1750_Lux	VPD
11/30/2020 09:04:43	23.99	98.13	21.25	1016.00	4241.67	0.72
11/30/2020 09:04:48	24.01	97.35	21.79	1016.00	4264.58	0.72
11/30/2020 09:04:53	24.01	97.23	21.79	1016.00	4310.83	0.72
11/30/2020 09:04:58	24.03	97.58	21.79	1016.00	4265.83	0.72
11/30/2020 09:05:03	24.03	98.10	21.89	1016.00	4249.58	0.72
11/30/2020 09:05:08	24.06	98.51	22.31	1015.00	4314.17	0.72
11/30/2020 09:05:13	24.03	98.76	22.31	1016.00	4274.58	0.72
11/30/2020 09:05:19	24.06	98.98	22.43	1016.00	4272.50	0.72
11/30/2020 09:05:24	24.04	99.12	22.31	1016.00	4278.33	0.72
11/30/2020 09:05:29	24.04	99.32	22.21	1016.00	4302.50	0.72
11/30/2020 09:05:34	24.03	99.57	22.31	1016.00	4256.25	0.72
11/30/2020 09:05:39	24.04	99.84	22.43	1016.00	4247.08	0.72
11/30/2020 09:05:44	24.04	100.09	22.43	1016.00	4284.58	0.72
11/30/2020 09:05:50	24.04	100.32	22.75	1016.00	4309.17	0.72
11/30/2020 09:05:55	24.08	100.58	22.64	1016.00	4280.00	0.72
11/30/2020 09:06:00	24.06	100.82	22.64	1016.00	4247.50	0.72
11/30/2020 09:06:05	24.06	101.04	22.43	1015.00	4297.50	0.72
11/30/2020 09:06:10	24.06	101.32	22.75	1016.00	4250.00	0.72
11/30/2020 09:06:15	24.08	101.63	22.53	1016.00	4280.42	0.72
11/30/2020 09:06:20	24.06	101.87	22.43	1016.00	4286.67	0.72
11/30/2020 09:06:26	24.08	102.24	22.43	1015.00	4310.00	0.72
11/30/2020 09:06:31	24.08	102.46	22.95	1016.00	4290.83	0.72
11/30/2020 09:06:36	24.10	102.75	22.43	1016.00	3902.08	0.72
11/30/2020 09:06:41	24.13	103.00	22.85	1016.00	4273.75	0.73
11/30/2020 09:06:46	24.10	103.25	22.53	1016.00	4314.58	0.72
11/30/2020 09:06:51	24.08	103.52	22.85	1016.00	4304.58	0.72
11/30/2020 09:06:57	24.10	103.73	22.64	1016.00	4313.75	0.72
11/30/2020 09:07:02	24.10	103.89	22.64	1016.00	4302.50	0.72
11/30/2020 09:07:07	24.12	104.17	22.64	1015.00	4282.50	0.72
11/30/2020 09:07:12	24.08	104.33	22.85	1016.00	4253.33	0.72
11/30/2020 09:07:17	24.13	104.54	22.64	1016.00	4246.67	0.73
11/30/2020 09:07:22	24.12	104.70	22.53	1016.00	4258.75	0.72
11/30/2020 09:07:27	24.10	104.80	22.64	1016.00	4292.08	0.72
11/30/2020 09:07:33	24.12	104.95	22.43	1016.00	4312.08	0.72
11/30/2020 09:07:38	24.12	105.11	23.07	1016.00	4263.33	0.72
